request_category,location,urgency_level,affected_users,time_sensitivity,impact_level,recurrence,priority_label
Electrical,Bathroom,2,2,1,2,1,Medium
Electrical,Room,5,2,1,3,1,High
Structural,Bathroom,5,3,1,3,1,High
Structural,Room,4,2,1,2,1,Medium
Electrical,Corridor,5,4,1,3,1,Medium
Furniture,Room,5,2,0,2,0,Medium
Structural,Room,5,2,1,3,1,High
Structural,Room,3,2,0,2,1,Medium
Electrical,Bathroom,4,4,1,3,0,High
Electrical,Room,5,3,1,3,0,High
Structural,Common Area,3,2,0,1,0,Medium
Plumbing,Bathroom,5,4,1,3,0,High
Electrical,Corridor,3,4,0,1,0,Low
Structural,Room,3,1,0,2,0,Medium
Structural,Room,4,2,0,2,0,Medium
Electrical,Room,3,1,1,1,0,Low
Electrical,Corridor,5,2,1,3,0,High
Furniture,Room,3,1,0,1,1,Low
Structural,Room,4,3,1,3,1,High
Electrical,Room,3,2,0,1,1,Low
Electrical,Bathroom,4,2,0,2,0,Medium
Electrical,Room,3,2,0,1,1,Low
Electrical,Room,3,1,1,1,0,Low
Electrical,Bathroom,3,3,0,2,0,Medium
Structural,Room,5,1,1,3,0,High
Plumbing,Room,4,3,0,2,1,Medium
Electrical,Bathroom,5,2,1,3,1,High
Electrical,Bathroom,4,2,1,2,0,Medium
Electrical,Room,3,1,0,1,1,Low
Electrical,Room,4,3,1,3,1,High
Other,Room,2,1,0,1,0,Low
Electrical,Room,3,2,0,1,1,Low
Structural,Room,5,2,1,3,1,High
Electrical,Room,4,2,0,2,0,Medium
Electrical,Bathroom,2,2,0,1,0,Low
Furniture,Bathroom,3,2,0,2,1,Medium
Furniture,Room,2,2,1,1,0,Low
Electrical,Bathroom,5,3,1,3,1,High
Furniture,Corridor,3,3,1,2,0,High
Electrical,Bathroom,3,2,1,2,0,Medium
Furniture,Room,4,2,1,2,0,Medium
Plumbing,Corridor,4,2,1,2,0,Medium
Structural,Room,1,1,0,1,1,Low
Electrical,Corridor,3,4,1,2,0,Medium
Electrical,Room,4,2,0,2,0,Medium
Electrical,Bathroom,3,1,0,2,0,Medium
Structural,Room,2,2,0,1,0,Low
Furniture,Room,4,1,0,2,0,Medium
Electrical,Corridor,5,2,1,3,0,High
Electrical,Common Area,3,2,1,2,0,Medium
Electrical,Room,4,2,1,3,0,High
Plumbing,Room,2,1,0,1,0,Low
Structural,Room,1,2,0,1,1,Low
Structural,Room,4,3,0,2,0,High
Furniture,Room,4,2,0,2,1,Medium
Structural,Corridor,4,2,0,2,1,Medium
Structural,Room,3,2,1,1,0,Medium
Structural,Bathroom,5,2,1,3,1,High
Structural,Room,3,1,1,2,1,Medium
Structural,Corridor,4,2,1,2,0,Medium
Plumbing,Room,3,3,0,2,0,Medium
Furniture,Room,3,1,1,1,0,Low
Structural,Common Area,1,1,0,1,1,Low
Structural,Bathroom,5,3,0,2,1,Medium
Plumbing,Room,5,2,1,3,0,High
Plumbing,Bathroom,4,4,1,2,0,Medium
Electrical,Corridor,5,4,1,3,1,High
Furniture,Room,2,2,0,1,1,Low
Plumbing,Corridor,5,2,1,3,1,High
Electrical,Room,2,1,0,1,0,Medium
Electrical,Room,4,2,0,2,0,Medium
Furniture,Corridor,2,2,0,1,0,Low
Furniture,Room,1,1,1,1,0,Low
Structural,Room,1,2,0,1,0,Low
Furniture,Bathroom,5,3,1,3,1,High
Other,Corridor,3,3,0,2,0,High
Structural,Room,5,4,1,3,1,High
Furniture,Room,3,1,0,1,0,Low
Plumbing,Room,2,2,1,2,1,Low
Electrical,Room,5,2,1,3,0,High
Electrical,Room,4,2,1,3,1,High
Structural,Room,5,2,1,3,0,High
Structural,Room,3,2,0,2,1,Medium
Furniture,Room,3,2,0,1,0,Low
Structural,Room,3,3,0,1,0,Low
Furniture,Room,4,2,1,2,0,Medium
Electrical,Room,5,1,1,3,0,High
Structural,Room,5,2,0,3,0,High
Other,Room,3,2,0,1,1,Low
Furniture,Room,1,2,1,1,0,Low
Structural,Room,5,2,1,3,1,High
Structural,Room,5,2,1,3,0,High
Structural,Room,3,2,0,1,0,Low
Plumbing,Room,3,2,1,2,0,Medium
Electrical,Room,5,2,1,3,0,High
Electrical,Room,2,1,0,1,0,Low
Plumbing,Bathroom,2,2,0,2,1,Medium
Structural,Room,5,2,1,2,1,Medium
Electrical,Room,5,2,1,3,1,High
Electrical,Bathroom,2,1,0,1,1,Low
Furniture,Room,3,1,0,1,0,Low
Structural,Room,5,3,1,3,1,High
Furniture,Room,1,2,1,1,0,Low
Furniture,Room,3,2,0,1,0,Low
Other,Room,3,2,0,2,0,Medium
Plumbing,Room,5,3,0,3,1,High
Structural,Room,5,2,1,3,1,High
Electrical,Corridor,4,4,1,3,1,High
Structural,Room,4,1,0,2,0,Medium
Furniture,Room,4,2,0,1,0,Medium
Furniture,Corridor,3,2,1,2,0,Medium
Other,Room,3,2,0,1,1,Low
Plumbing,Bathroom,4,4,1,3,1,High
Other,Room,1,2,0,1,0,Low
Other,Room,2,1,0,1,1,Low
Plumbing,Bathroom,5,2,0,1,0,Medium
Structural,Common Area,3,2,0,1,1,Low
Electrical,Room,5,2,1,3,0,High
Plumbing,Room,3,2,1,2,1,Medium
Other,Room,4,2,0,2,1,Medium
Electrical,Corridor,4,1,0,1,1,Medium
Furniture,Room,3,2,0,2,1,High
Structural,Room,1,1,1,1,0,Low
Plumbing,Room,2,2,0,1,0,Medium
Plumbing,Room,4,1,1,2,0,Medium
Structural,Corridor,4,3,1,3,0,High
Structural,Room,4,3,1,2,0,Medium
Electrical,Room,2,2,0,2,1,Medium
Electrical,Bathroom,1,2,0,1,1,Low
Electrical,Room,5,4,1,3,1,High
Structural,Bathroom,5,2,1,3,1,High
Structural,Room,3,2,0,1,1,Low
Plumbing,Room,5,4,1,3,1,High
Furniture,Room,4,2,1,3,1,High
Structural,Corridor,2,2,0,1,0,Low
Structural,Corridor,3,2,0,2,0,Medium
Plumbing,Room,4,2,1,3,0,High
Plumbing,Room,3,1,1,2,0,Medium
Furniture,Room,2,2,0,1,0,Low
Electrical,Room,3,1,0,1,1,Low
Electrical,Room,4,1,1,2,1,Medium
Structural,Corridor,3,3,0,2,1,Medium
Furniture,Room,3,2,0,1,1,Low
Plumbing,Bathroom,4,4,1,3,1,High
Electrical,Room,5,2,1,3,0,High
Electrical,Bathroom,2,2,0,1,1,Low
Electrical,Room,2,2,0,1,0,Low
Structural,Room,5,2,1,3,0,High
Other,Room,3,1,0,1,0,Low
Furniture,Corridor,3,1,0,1,0,Low
Furniture,Room,1,1,0,1,0,Low
Plumbing,Bathroom,2,2,0,2,0,Medium
Structural,Room,5,2,0,3,1,High
Electrical,Room,3,2,1,3,1,High
Electrical,Bathroom,5,4,1,3,0,High
Structural,Room,2,1,0,1,0,Low
Structural,Room,3,1,0,1,0,Low
Furniture,Room,2,1,0,1,0,Low
Electrical,Corridor,3,3,1,2,1,Medium
Structural,Room,2,3,0,2,0,Medium
Structural,Room,5,4,1,3,1,High
Furniture,Room,1,1,0,1,0,Low
Other,Room,3,1,1,2,1,High
Other,Room,4,2,1,2,0,Medium
Electrical,Room,2,1,0,1,1,Low
Electrical,Room,2,1,0,1,0,Low
Plumbing,Bathroom,5,4,1,3,1,High
Structural,Bathroom,5,3,1,3,1,High
Electrical,Room,5,2,1,3,0,High
Furniture,Room,3,2,0,2,1,Medium
Electrical,Room,4,4,1,3,1,High
Furniture,Room,4,1,0,2,0,Medium
Electrical,Bathroom,5,2,1,3,1,High
Plumbing,Bathroom,4,4,1,3,1,High
Plumbing,Room,5,4,1,3,0,High
Electrical,Room,2,1,0,1,1,Low
Electrical,Room,4,2,1,1,0,Medium
Electrical,Bathroom,5,4,0,3,1,High
Structural,Room,5,2,0,3,1,High
Furniture,Room,1,1,1,1,0,Low
Plumbing,Bathroom,5,4,1,3,0,High
Plumbing,Room,4,4,1,3,1,High
Structural,Room,3,2,0,2,0,Medium
Electrical,Room,2,2,0,1,0,Low
Furniture,Corridor,2,3,0,2,0,Medium
Furniture,Room,2,2,0,1,0,Low
Furniture,Room,3,2,0,1,1,Medium
Electrical,Room,4,3,1,3,1,High
Furniture,Bathroom,5,4,1,3,0,High
Plumbing,Room,3,2,0,2,0,Low
Electrical,Room,3,2,0,2,0,Medium
Other,Room,3,1,1,1,1,Low
Electrical,Bathroom,3,2,1,2,1,Low
Structural,Room,4,3,0,2,1,Medium
Plumbing,Corridor,5,2,1,3,1,Medium
Plumbing,Room,5,2,1,3,0,High
Furniture,Room,2,1,1,1,0,Low
Furniture,Room,2,1,0,1,0,Low
Electrical,Room,2,2,1,1,1,Low
Electrical,Common Area,4,2,0,2,0,Medium
Electrical,Room,3,1,0,1,0,Low
Structural,Bathroom,2,2,0,2,0,Medium
Structural,Corridor,3,1,0,1,0,Low
Furniture,Room,2,2,1,2,1,Medium
Furniture,Common Area,2,1,1,2,0,Medium
Furniture,Room,3,2,1,2,0,Medium
Furniture,Room,5,2,1,3,1,High
Plumbing,Room,5,4,1,3,1,High
Structural,Room,1,1,0,1,1,Medium
Plumbing,Bathroom,3,1,1,2,1,Low
Furniture,Corridor,1,1,0,1,0,Low
Electrical,Room,4,2,1,3,1,High
Plumbing,Room,3,2,1,2,0,Medium
Structural,Room,4,3,1,3,1,High
Plumbing,Room,5,3,1,3,1,Medium
Other,Corridor,4,2,1,1,1,Low
Structural,Bathroom,4,2,1,3,1,High
